backers_count,usd_pledged,duration,staff_pick,state,start_backers_count,category_pos,usd_goal,start_usd_pledged_amount,completed_time,AT,AU,BE,CA,CH,DE,DK,ES,FR,GB,HK,IE,IT,JP,LU,MX,NL,NO,NZ,SE,SG,US,art,comics,crafts,dance,design,fashion,film & video,food,games,journalism,music,photography,publishing,technology,theater,launched_month
60,2524.60983957,2592000,1,1,22.0,4,2400.96038,973.58943409,0.3498244598765432,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,2524.60983957,2592000,1,1,22.0,4,2400.96038,973.58943409,0.3498244598765432,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,2653.0,2592000,1,1,66.0,4,250.0,1847.0,0.3464803240740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,2653.0,2592000,1,1,66.0,4,250.0,1847.0,0.3464803240740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,9337.8378285,1904725,0,1,124.0,4,878.3783775,6587.83783125,0.4572413340508472,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,9337.8378285,1904725,0,1,124.0,4,878.3783775,6587.83783125,0.4572413340508472,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,590.0,1296000,0,1,28.0,4,500.0,466.0,0.6148140432098765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,590.0,1296000,0,1,28.0,4,500.0,466.0,0.6148140432098765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,5614.0,2592000,0,1,123.0,4,375.0,3510.0,0.29024382716049385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,5614.0,2592000,0,1,123.0,4,375.0,3510.0,0.29024382716049385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,14388.36815028,3024000,0,1,32.0,4,13458.303263999998,3562.8454623,0.24757473544973546,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,14388.36815028,3024000,0,1,32.0,4,13458.303263999998,3562.8454623,0.24757473544973546,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,1530.0,1727999,0,1,37.0,4,600.0,1007.0,0.4124996600113773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,1530.0,1727999,0,1,37.0,4,600.0,1007.0,0.4124996600113773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,352.71509463,2592000,0,1,16.0,4,337.8497075,218.92661046,0.2745922067901235,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,352.71509463,2592000,0,1,16.0,4,337.8497075,218.92661046,0.2745922067901235,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,240.377104,1728000,0,1,5.0,4,240.377104,132.2074072,0.3279351851851852,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,240.377104,1728000,0,1,5.0,4,240.377104,132.2074072,0.3279351851851852,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
